      x        y         z      color shape
16.8214 -21.3891   11.1811  lightblue     x
-0.210906  -23.178   9.62838        red     x
-22.7488 -3.24453   11.4597        red     x
-4.95832  5.02211   1.65527        red     x
-1.29011  7.29301  0.164732        red     x
18.4061  8.98626  -10.7287        red     x
14.6226   20.654  -14.1283        red     x
