      x         y        z      color shape
16.8214  -21.3891  11.1811  lightblue     x
-2.71693  -26.8677  6.57745       gray     x
-28.0918   -11.243  12.1479       gray     x
-4.82225   0.68938  3.34563       gray     x
9.53875  0.686347 -2.18843       gray     x
-2.5786  -5.35337 -12.9487       gray     x
8.21713   7.61812 -7.61696       gray     x


