ENST00000625664
ENST00000507656
ENST00000380641
ENST00000504256
ENST00000409499
ENST00000513888
ENST00000333479
ENST00000349780
ENST00000532256
ENST00000262305
ENST00000372899
ENST00000593165
ENST00000484955
ENST00000491646
ENST00000489671
ENST00000511807
ENST00000583028
ENST00000540021
ENST00000533429
ENST00000616552
ENST00000302278
ENST00000298492
ENST00000504804
ENST00000454255
ENST00000313219
ENST00000621097
ENST00000359052
ENST00000611091
ENST00000560370
ENST00000525734
ENST00000552319
ENST00000536027
ENST00000515629
ENST00000583976
ENST00000393062
ENST00000356244
ENST00000564163
ENST00000448395
