low_read_cells	X86	X54	X59	X48	X277	X157	X61	X76	X104	X217	X159	X98	X72	X122	X123																																																																																																																																																																																																																													
lhcb	X12	X13	X17	X19	X21	X45	X47	X58	X62	X73	X78	X84	X87	X88	X93	X96	X104	X108	X110	X116	X120	X122	X125	X129	X131	X132	X133	X140	X146	X148	X152	X154	X156	X166	X169	X176	X181	X182	X198	X201	X206	X213	X215	X217	X221	X224	X228	X230	X241	X257	X258	X261	X266	X271	X273	X274	X282	X284	X286	X288	X297	X298	X299	X302	X303	X310																																																																																																																																																																										
shcb	X48	X54	X59	X61	 X76	X86	X157																																																																																																																																																																																																																																					
tSNE_outliers	X182	X127	X220	X244	X146	X248	X40	X303	X164																																																																																																																																																																																																																																			
day_4	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70																																																																																																																																																																						
day_6	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119	X120	X121	X122	X123	X124	X125	X126	X127	X128	X129	X130	X131	X132	X133	X134	X135	X136	X137	X138	X139	X140	X141	X142	X143	X144	X145	X146	X147	X148	X149	X150	X151	X152	X153	X154	X155																																																																																																																																																							
day_8	X156	X157	X158	X159	X160	X161	X162	X163	X164	X165	X166	X167	X168	X169	X170	X171	X172	X173	X174	X175	X176	X177	X178	X179	X180	X181	X182	X183	X184	X185	X186	X187	X188	X189	X190	X191	X192	X193	X194	X195	X196	X197	X198	X199	X200	X201	X202	X203	X204	X205	X206	X207	X208	X209	X210	X211	X212	X213	X214	X215	X216	X217	X218	X219	X220	X221	X222	X223	X224	X225	X226	X227	X228	X229	X230	X231	X232	X233																																																																																																																																																														
day_12	X234	X235	X236	X237	X238	X239	X240	X241	X242	X243	X244	X245	X246	X247	X248	X249	X250	X251	X252	X253	X254	X255	X256	X257	X258	X259	X260	X261	X262	X263	X264	X265	X266	X267	X268	X269	X270	X271	X272	X273	X274	X275	X276	X277	X278	X279	X280	X281	X282	X283	X284	X285	X286	X287	X288	X289	X290	X291	X292	X293	X294	X295	X296	X297	X298	X299	X300	X301	X302	X303	X304	X305	X306	X307	X308	X309	X310	X311	X312																																																																																																																																																													
shCtrl	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X156	X157	X158	X159	X160	X161	X162	X163	X164	X165	X166	X167	X168	X169	X170	X171	X172	X173	X174	X175	X176	X177	X178	X234	X235	X236	X237	X238	X239	X240	X241	X242	X243	X244	X245	X246	X247	X248	X249	X250	X251	X252	X253	X254	X255	X256																																																																																																																																																				
sh733	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X95	X96	X97	X98	X99	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119	X120	X121	X122	X123	X124	X125	X179	X180	X181	X182	X183	X184	X185	X186	X187	X188	X189	X190	X191	X192	X193	X194	X195	X196	X197	X198	X199	X200	X201	X202	X203	X204	X257	X258	X259	X260	X261	X262	X263	X264	X265	X266	X267	X268	X269	X270	X271	X272	X273	X274	X275	X276	X277	X278	X279	X280	X281	X282	X283	X284	X285	X286																																																																																																																										
sh737	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X126	X127	X128	X129	X130	X131	X132	X133	X134	X135	X136	X137	X138	X139	X140	X141	X142	X143	X144	X145	X146	X147	X148	X149	X150	X151	X152	X153	X154	X155	X205	X206	X207	X208	X209	X210	X211	X212	X213	X214	X215	X216	X217	X218	X219	X220	X221	X222	X223	X224	X225	X226	X227	X228	X229	X230	X231	X232	X233	X287	X288	X289	X290	X291	X292	X293	X294	X295	X296	X297	X298	X299	X300	X301	X302	X303	X304	X305	X306	X307	X308	X309	X310	X311	X312																																																																																																																														
cluster_ward1	X2	X5	X7	X9	X11	X14	X16	X18	X24	X26	X27	X29	X31	X35	X37	X38	X40	X41	X52	X53	X55	X57	X65	X70	X74	X79	X90	X94	X103	X106	X115	X117	X124	X126	X127	X130	X150	X164	X171	X172	X197	X200	X202	X208	X218	X220	X226	X227	X229	X231	X232	X239	X244	X262	X269	X276	X305	X311																																																																																																																																																																																		
cluster_ward2	X1	X3	X4	X6	X8	X10	X15	X20	X22	X23	X25	X28	X30	X32	X33	X34	X36	X39	X42	X43	X44	X46	X49	X50	X51	X56	X60	X63	X64	X66	X67	X68	X69	X71	X72	X75	X77	X80	X81	X82	X83	X85	X89	X91	X92	X95	X97	X98	X99	X100	X101	X102	X105	X107	X109	X111	X112	X113	X114	X118	X119	X121	X123	X128	X134	X135	X136	X137	X138	X139	X141	X142	X143	X144	X145	X147	X149	X151	X153	X155	X158	X159	X160	X161	X162	X163	X165	X167	X168	X170	X173	X174	X175	X177	X178	X179	X180	X183	X184	X185	X186	X187	X188	X189	X190	X191	X192	X193	X194	X195	X196	X199	X203	X204	X205	X207	X209	X210	X211	X212	X214	X216	X219	X222	X223	X225	X233	X234	X235	X236	X237	X238	X240	X242	X243	X245	X246	X247	X248	X249	X250	X251	X252	X253	X254	X255	X256	X259	X260	X263	X264	X265	X267	X268	X270	X272	X275	X278	X279	X280	X281	X283	X285	X287	X289	X290	X291	X292	X293	X294	X295	X296	X300	X301	X304	X306	X307	X308	X309	X312																																																								
cluster_ward3	X12	X13	X19	X21	X58	X62	X78	X84	X87	X88	X96	X116	X131	X146	X148	X181	X182	X198	X201	X206	X221	X241	X257	X261	X286	X302	X303																																																																																																																																																																																																																	
cluster_ward4	X17	X45	X47	X73	X93	X104	X108	X110	X120	X122	X125	X129	X132	X133	X140	X152	X154	X156	X166	X169	X176	X213	X215	X217	X224	X228	X230	X258	X266	X271	X273	X274	X282	X284	X288	X297	X298	X299	X310																																																																																																																																																																																																					
cluster_complete1	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X14	X15	X16	X18	X19	X20	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X46	X49	X50	X51	X52	X53	X55	X56	X57	X60	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X74	X75	X77	X79	X80	X81	X82	X83	X85	X89	X90	X91	X92	X94	X95	X97	X99	X100	X101	X102	X103	X105	X106	X107	X109	X111	X112	X113	X114	X115	X117	X118	X119	X121	X123	X124	X126	X127	X128	X130	X134	X135	X136	X137	X138	X139	X141	X142	X143	X144	X145	X147	X149	X150	X151	X153	X155	X158	X159	X160	X161	X162	X163	X164	X165	X167	X168	X170	X171	X172	X173	X174	X175	X177	X178	X179	X180	X183	X184	X185	X186	X187	X188	X189	X190	X191	X192	X193	X194	X195	X196	X197	X199	X200	X202	X203	X204	X205	X207	X208	X209	X210	X211	X212	X214	X216	X218	X219	X220	X222	X223	X225	X226	X227	X229	X231	X232	X233	X234	X235	X236	X237	X238	X239	X240	X242	X243	X244	X245	X246	X247	X248	X249	X250	X251	X252	X253	X254	X255	X256	X259	X260	X262	X263	X264	X265	X267	X268	X269	X270	X272	X275	X276	X278	X279	X280	X281	X283	X285	X290	X292	X293	X295	X296	X304	X305	X306	X307	X309	X311					
cluster_complete2	X17	X45	X47	X73	X93	X98	X108	X110	X120	X122	X125	X129	X132	X133	X140	X152	X154	X156	X166	X169	X176	X181	X213	X215	X224	X228	X230	X258	X266	X271	X273	X274	X282	X284	X287	X289	X291	X294	X297	X298	X299	X300	X301	X308	X310	X312																																																																																																																																																																																														
cluster_complete3	X12	X13	X21	X58	X78	X84	X87	X88	X96	X116	X131	X146	X148	X182	X198	X201	X206	X217	X221	X241	X257	X261	X286	X288	X302	X303																																																																																																																																																																																																																		
cluster_complete4	X104																																																																																																																																																																																																																																											
brancha	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X14	X15	X16	X18	X20	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X46	X49	X50	X51	X52	X53	X55	X56	X57	X60	X63	X64	X65	X66	X67	X68	X69	X70	X71	X74	X75	X77	X79	X80	X81	X82	X83	X85	X89	X90	X91	X92	X94	X95	X97	X99	X100	X101	X102	X103	X105	X106	X107	X109	X111	X112	X113	X114	X115	X117	X118	X119	X121	X123	X124	X126	X127	X128	X130	X134	X135	X136	X137	X138	X139	X141	X142	X143	X144	X145	X147	X149	X150	X151	X153	X155	X158	X160	X161	X162	X163	X164	X165	X167	X168	X170	X171	X172	X173	X174	X175	X177	X178	X179	X180	X183	X184	X185	X186	X187	X188	X189	X190	X191	X192	X193	X194	X195	X196	X197	X199	X200	X202	X203	X204	X205	X207	X208	X209	X210	X211	X212	X214	X216	X218	X219	X220	X222	X223	X225	X226	X227	X229	X231	X232	X233	X234	X235	X236	X237	X238	X239	X240	X242	X243	X244	X245	X246	X247	X248	X249	X250	X251	X252	X253	X254	X255	X256	X259	X260	X262	X263	X264	X265	X267	X268	X269	X270	X272	X275	X276	X277	X278	X279	X280	X281	X283	X285	X287	X289	X290	X291	X292	X293	X294	X295	X296	X300	X301	X304	X305	X306	X307	X308	X309	X311	X312
branchb	X12	X17	X45	X47	X73	X78	X93	X108	X110	X120	X125	X129	X132	X133	X140	X152	X154	X156	X166	X169	X176	X181	X213	X215	X224	X228	X230	X241	X257	X258	X266	X271	X273	X274	X282	X284	X286	X288	X297	X298	X299	X310																																																																																																																																																																																																		
branchc	X13	X19	X21	X58	X62	X84	X87	X88	X96	X116	X131	X146	X148	X182	X198	X201	X206	X221	X261	X302	X303																																																																																																																																																																																																																							
